iter	Passed	Remaining
0	82	82127
1	101	50658
2	114	38105
3	128	31884
4	140	27980
5	153	25398
6	165	23469
7	171	21293
8	182	20143
9	195	19386
10	209	18833
11	217	17918
12	226	17163
13	238	16831
14	246	16164
15	250	15435
16	261	15142
17	273	14906
18	287	14834
19	298	14624
20	305	14220
21	319	14212
22	331	14090
23	339	13803
24	344	13426
25	350	13122
26	362	13077
27	371	12913
28	382	12815
29	392	12690
30	404	12636
31	416	12595
32	425	12479
33	435	12383
34	448	12357
35	460	12331
36	468	12202
37	479	12135
38	489	12070
39	501	12037
40	512	11997
41	526	11999
42	537	11970
43	548	11928
44	559	11872
45	570	11833
46	581	11786
47	592	11756
48	604	11732
49	615	11694
50	627	11679
51	638	11634
52	647	11577
53	658	11528
54	671	11534
55	683	11521
56	694	11486
57	704	11441
58	714	11399
59	725	11368
60	736	11334
61	749	11338
