feature,importance
dest_fraud_rate,10.810521869223642
client_median_amount,9.873401045441906
client_avg_amount,8.010630743523915
freq_change_7d_vs_30d,7.244232989967873
Fano-factor интервалов: variance / mean,6.413421007507447
zscore_avg_login_interval_7d,5.313540437514921
Количество уникальных логин-сессий (минутных тайм-слотов) за последние 7 дней до transdate,4.418128492735259
Количество разных моделей телефона (phone_model) за последние 30 дней — насколько часто клиент “менял устройство” по логам,3.7498174609628347
login_frequency_spike,3.494040658630704
Средний интервал (в секундах) между соседними сессиями за последние 30 дней,3.1899442359229857
client_tx_count,3.0594337378826673
avg_login_interval_7d,3.044264573196958
Количество уникальных логин-сессий за последние 30 дней до transdate,2.930058684749351
client_max_amount,2.766606614153193
"Стандартное отклонение интервалов между логинами за 30 дней (в секундах), измеряет разброс интервалов",2.6982775784206834
burstiness_login_interval,2.577158509807668
Показатель “взрывности” логинов: (std?mean)/(std+mean)(std - mean)/(std + mean)(std?mean)/(std+mean) для интервалов,2.4243554450231084
time_since_last_tx,2.387645212869354
hour,2.355999176486772
Среднее число логинов в день за последние 7 дней: logins_last_7_days / 7,1.6857495650290784
"Z-скор среднего интервала за последние 7 дней относительно среднего за 30 дней: насколько сильно недавние интервалы отличаются от типичных, в единицах стандартного отклонения",1.640522543278124
login_frequency_7d,1.6096903823412727
login_frequency_30d,1.3965215277197764
dest_total_tx,1.3246776853864848
monthly_os_changes,1.2460998338210438
time_since_last_incoming_tmp,0.9783798655216529
"Дисперсия интервалов между логинами за 30 дней (в секундах?), ещё одна мера разброса",0.7224011983576121
"Экспоненциально взвешенное среднее интервалов между логинами за 7 дней, где более свежие сессии имеют больший вес (коэффициент затухания 0.3)",0.6418338940011047
amount,0.6234789707755072
amount_bucket,0.5481380746181403
is_round_100,0.5020828146447555
amount_vs_avg,0.3189451704842022
is_round_amount,0.0
is_morning,0.0
is_evening,0.0
log_amount,0.0
day_of_week,0.0
day_of_month,0.0
is_weekend,0.0
is_night,0.0
Модель телефона из самой последней сессии (по времени) перед transdate,0.0
Версия ОС из самой последней сессии перед transdate,0.0
transaction_date_key,0.0
Количество разных версий ОС (os_ver) за последние 30 дней до transdate — сколько разных ОС/версий использовал клиент,0.0
Среднее число логинов в день за последние 30 дней: logins_last_30_days / 30,0.0
Доля логинов за 7 дней от логинов за 30 дней,0.0
"Относительное изменение частоты логинов за 7 дней к средней частоте за 30 дней:
(freq7d?freq30d)/freq30d(freq_{7d} - freq_{30d}) / freq_{30d}(freq7d?freq30d)/freq30d — показывает, стал клиент заходить чаще или реже недавно",0.0
amount_vs_median,0.0
device_changed_24h,0.0
unique_devices_30d,0.0
monthly_phone_model_changes,0.0
is_quick_succession,0.0
dest_unique_clients,0.0
is_new_max,0.0
is_new_destination,0.0
dest_tx_count,0.0
suspicious_device_activity,0.0
device_limit_exceeded,0.0
avg_login_interval_30d,0.0
high_burstiness_flag,0.0
incoming_transfers_24h,0.0
time_since_last_incoming,0.0
incoming_transfers_24h_tmp,0.0
dropper_activity_flag,0.0
